r,index
2,0.037095
3,0.035353333333333334
4,0.039792499999999995
5,0.035435999999999995
6,0.03705166666666667
7,0.035222857142857146
8,0.04491
9,0.035449999999999995
10,0.037099
11,0.03506272727272727
12,0.03978833333333333
13,0.03550923076923077
14,0.03709357142857143
15,0.03538533333333334
16,0.055398125
17,0.035522941176470584
18,0.03705055555555556
19,0.035316315789473675
20,0.03979799999999999
21,0.035056190476190484
22,0.036881363636363636
23,0.035266956521739126
24,0.04486333333333333
25,0.03531760000000001
26,0.03731076923076923
27,0.03524925925925925
28,0.03969071428571428
29,0.03558413793103449
30,0.03692766666666667
31,0.03527322580645161
